\PL_NAME='WASP-80 b'
\SPEC_TYPE='Eclipse'
\INSTRUMENT='Near Infrared Camera (NIRCam)'
\FACILITY='NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission'
\NOTE='Figure 3, Fiducial spectrum'
\REFERENCE='Bell et al. 2023'
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|      double|      double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
        3.39415      null     0.02836         0.00788        -0.00788              0       null           null           null             0     null         null         null 
         3.4088      null     0.02304         0.00819        -0.00819              0       null           null           null             0     null         null         null 
        3.42345      null     0.01748         0.00767        -0.00767              0       null           null           null             0     null         null         null 
         3.4381      null     0.02476         0.00819        -0.00819              0       null           null           null             0     null         null         null 
        3.45275      null     0.02206         0.00716        -0.00716              0       null           null           null             0     null         null         null 
        3.46745      null     0.01811         0.01332        -0.01332              0       null           null           null             0     null         null         null 
         3.4821      null     0.01844         0.00847        -0.00847              0       null           null           null             0     null         null         null 
        3.49675      null      0.0158         0.00772        -0.00772              0       null           null           null             0     null         null         null 
        3.51145      null     0.01983         0.00785        -0.00785              0       null           null           null             0     null         null         null 
        3.52615      null      0.0275         0.00836        -0.00836              0       null           null           null             0     null         null         null 
         3.5408      null     0.02417         0.00795        -0.00795              0       null           null           null             0     null         null         null 
        3.55545      null     0.02418         0.00798        -0.00798              0       null           null           null             0     null         null         null 
        3.57015      null     0.01515         0.00758        -0.00758              0       null           null           null             0     null         null         null 
        3.58485      null     0.02851         0.00749        -0.00749              0       null           null           null             0     null         null         null 
        3.59955      null     0.01785         0.00775        -0.00775              0       null           null           null             0     null         null         null 
        3.61425      null     0.02631         0.00813        -0.00813              0       null           null           null             0     null         null         null 
         3.6289      null     0.02515         0.00762        -0.00762              0       null           null           null             0     null         null         null 
        3.64355      null     0.03625         0.00784        -0.00784              0       null           null           null             0     null         null         null 
        3.65825      null     0.03721         0.00771        -0.00771              0       null           null           null             0     null         null         null 
        3.67295      null     0.04506         0.00793        -0.00793              0       null           null           null             0     null         null         null 
        3.68765      null     0.02625         0.01773        -0.01773              0       null           null           null             0     null         null         null 
