 2.095              0.209               0.0001337              4.41e-05               F210M-comb 1177.5835410026662 66.40578346611744
 2.479599247759702  0.04966098852670919 0.00018555332422515744 3.2486905341920966e-05 binned NC  1088.1561853597439 35.555457487292095
 2.529260236286411  0.04966098852670964 0.0001667395059521038  3.104482111421474e-05  binned NC  1052.1826887899226 36.07278208522292
 2.5789212248131204 0.04966098852670919 0.00021667000149922668 2.9998019562468168e-05 binned NC  1091.323460829602  29.377960182163868
 2.62858221333983   0.04966098852670919 0.00019384025954355296 2.7728705083824435e-05 binned NC  1054.6035139151088 28.904531591922755
 2.6782432018665387 0.04966098852670919 0.00018872640977030434 2.7187211542509447e-05 binned NC  1036.1442273388627 28.62789205285433
 2.7279041903932484 0.04966098852670964 0.0001676468163116412  2.6159995451798626e-05 binned NC  1000.9048205901429 29.486478433571925
 2.777565178919958  0.04966098852670919 0.0002103819833802068  2.6030069704303022e-05 binned NC  1032.0553654329576 25.273371175820518
 2.8272261674466668 0.04966098852670919 0.0001931024508111645  2.6127465174262593e-05 binned NC  1002.047072250524  26.53012822812833
 2.8768871559733764 0.04966098852670919 0.00017275917798283008 2.6549148918131362e-05 binned NC   967.9017834900526 28.623199513915583
 2.9265481445000856 0.04966098852670964 0.00033881756139894946 2.5409911942025767e-05 binned NC  1098.4678595045823 18.19709401971575
 2.976209133026795  0.04966098852670919 0.0002664269973938252  2.527793977451933e-05  binned NC  1030.4116253610857 20.64681830607842
 3.0258701215535044 0.04966098852670919 0.0002671036086503661  2.529014520384498e-05  binned NC  1018.4209144840609 20.4592182485177
 3.0755311100802136 0.04966098852670964 0.00033513973374636096 2.5049555088446288e-05 binned NC  1057.5645787510887 17.655294436900572
 3.125192098606923  0.04966098852670919 0.00037373248207675736 2.4758344886995047e-05 binned NC  1071.058395006805  16.28273964025869
 3.1748530871336325 0.04966098852670919 0.000414755682491992   2.4550990917940313e-05 binned NC  1085.2715483183206 15.14814161912551
