# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: fp_value, datatype: float64}
# - {name: fp_errorneg, datatype: float64}
# - {name: fp_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width fp_value fp_errorneg fp_errorpos
3.8975 0.00749999999999984 0.0006547966529087 9.763055705230004e-05 9.848938777909995e-05
3.9124999999999996 0.007500000000000062 0.0008162974317904 7.878563033119994e-05 7.629502963690002e-05
3.9275 0.007500000000000062 0.0007533718344222 6.936749228470007e-05 7.308453463229997e-05
3.9425 0.007500000000000062 0.0008937427790904 7.529698474340008e-05 8.904729408719988e-05
3.9575 0.00749999999999984 0.0008419383005155 8.75512842794001e-05 8.276669254609996e-05
3.9725 0.007500000000000062 0.0007482449659035 7.203723666109995e-05 7.501064606549996e-05
3.9875 0.007500000000000062 0.0008096800230361 7.36275215536999e-05 7.371036110850003e-05
4.0024999999999995 0.00749999999999984 0.0007435744493392 7.247702084009998e-05 7.360621909790002e-05
4.0175 0.007500000000000284 0.0009123680457644 7.253646135459992e-05 7.713697917040004e-05
4.032500000000001 0.00749999999999984 0.0009400885750146 7.597930294350004e-05 7.201116950119994e-05
4.047499999999999 0.00749999999999984 0.0008268385348185 8.09561082428e-05 8.20942345716e-05
4.0625 0.007500000000000284 0.0009353189620958 7.84237454441e-05 7.965290007929987e-05
4.077500000000001 0.00749999999999984 0.0008341512412604 7.430307810720003e-05 7.388647637110001e-05
4.092499999999999 0.00749999999999984 0.0008661362531049 8.520755260979995e-05 7.905900866199997e-05
4.1075 0.007500000000000284 0.0008548474029034 7.61642422989e-05 7.521093959699996e-05
4.1225000000000005 0.00749999999999984 0.0008374182462273 8.111858953979993e-05 7.811892414090005e-05
4.137499999999999 0.00749999999999984 0.0008986122771222 8.318863967369996e-05 8.306301372579998e-05
4.1525 0.007500000000000284 0.0009753795421008 7.842203472689993e-05 8.360698861350005e-05
4.1675 0.00749999999999984 0.0007432394558635 8.416394554869994e-05 8.478706028090008e-05
4.1825 0.007500000000000284 0.0007174693785727 9.0698386095e-05 9.04769855682e-05
