# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: fp_value, datatype: float64}
# - {name: fp_errorneg, datatype: float64}
# - {name: fp_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width fp_value fp_errorneg fp_errorpos
2.4575 0.00749999999999984 0.0001076521224117 0.00010637674916521496 0.000128673994654
2.4725 0.007500000000000062 9.700478556803047e-05 9.628410853534812e-05 9.538270671726953e-05
2.4875 0.007500000000000062 0.0001255758247892 0.00010959439423844465 0.0001032955701175
2.5025 0.00749999999999984 0.0001710399588594 9.480999110581815e-05 0.00010195338843639999
2.5175 0.007500000000000062 -5.492267753133412e-05 9.286840554466588e-05 9.433264584830126e-05
2.5324999999999998 0.007500000000000062 5.272224007160752e-05 8.617787847410643e-05 8.787885752119247e-05
2.5475000000000003 0.007500000000000062 4.7498364865339695e-05 8.951386432903889e-05 0.00010128444173096031
2.5625 0.00749999999999984 -5.4699285290944513e-05 9.068352212195548e-05 0.00010013446275489608
2.5774999999999997 0.007500000000000062 2.1084883952455263e-05 8.152221174447879e-05 8.387601022144474e-05
2.5925000000000002 0.007500000000000062 -7.140112973816115e-05 9.381221322393886e-05 8.475084057965154e-05
2.6075 0.007500000000000062 8.114716959453281e-05 8.250461687822523e-05 8.09141570190672e-05
2.6225 0.00749999999999984 2.1843426105677165e-05 7.779419583575277e-05 7.583230350032538e-05
2.6375 0.007500000000000062 6.97823988028375e-05 8.149150600633697e-05 8.24160663767625e-05
2.6525 0.007500000000000062 -3.642318953165095e-05 7.371530682784905e-05 7.814626640735583e-05
2.6675 0.00749999999999984 3.453453276544091e-05 7.339313971849733e-05 7.157710969705909e-05
2.6825 0.007500000000000062 1.928331691241089e-06 7.697090244212788e-05 7.549308309797451e-05
2.6975 0.007500000000000062 2.7264660183476983e-05 7.968520728631456e-05 8.465041659052302e-05
2.7125000000000004 0.007500000000000062 -1.3182403111888112e-05 7.39453146035479e-05 7.700172466119313e-05
2.7275 0.00749999999999984 0.0001283314727721 7.204612100408472e-05 7.009341017279999e-05
2.7424999999999997 0.007500000000000062 0.0001549531891748 7.280764193763801e-05 7.53417827391e-05
2.7575000000000003 0.007500000000000062 8.654294100082166e-05 7.506725831810652e-05 7.520138161517836e-05
2.7725 0.00749999999999984 4.888304643828666e-05 8.282094182655668e-05 0.00010176057643571333
2.7874999999999996 0.007500000000000062 0.0001313071555139 8.510023101396285e-05 9.97089432105e-05
2.8025 0.007500000000000062 3.78023703984949e-05 8.39561837916316e-05 9.487990098490512e-05
2.8175 0.007500000000000062 7.424642380849398e-05 6.944136612822907e-05 7.098022975240601e-05
2.8325 0.00749999999999984 7.366608608207344e-05 7.929520538694427e-05 8.024114095922654e-05
2.8475 0.007500000000000062 0.0001315663305177 8.357099886139824e-05 8.06906216264e-05
2.8625 0.007500000000000062 0.0001421045765558 7.834059965919375e-05 7.781078825199998e-05
2.8775 0.00749999999999984 0.0002057011401483 8.56613963536e-05 8.59738472573e-05
2.8925 0.007500000000000062 0.0001427758240064 9.623121240835316e-05 8.77058203496e-05
2.9074999999999998 0.007500000000000062 8.741248917217501e-05 8.272370885746575e-05 9.698062431102499e-05
2.9225000000000003 0.007500000000000062 0.0001945942500677 7.003749854940001e-05 7.151462830109998e-05
2.9375 0.00749999999999984 0.0001365616696897 7.324597125192082e-05 7.688851611159999e-05
2.9524999999999997 0.007500000000000062 0.0001341844570719 7.479916642482088e-05 7.78287275575e-05
2.9675000000000002 0.007500000000000062 0.000200479939168 8.05431537751e-05 0.00010590448626630002
2.9825 0.007500000000000062 0.0001884352469039 7.37363716299e-05 7.941553753640002e-05
2.9975 0.00749999999999984 0.0002920773488425 7.742625218569999e-05 7.95875239895e-05
3.0125 0.007500000000000062 0.0001428866983299 7.281667603831925e-05 7.720995302019999e-05
3.0275 0.007500000000000062 0.0002721054573449 7.724754344579999e-05 8.7157528912e-05
3.0425 0.00749999999999984 0.0001549984599895 7.731477611374322e-05 7.75015971453e-05
3.0575 0.007500000000000062 0.0002360389425391 7.325071483560002e-05 7.778443059100002e-05
3.0725 0.007500000000000062 0.0001654907494461 7.741060549356739e-05 8.829429117869999e-05
3.0875000000000004 0.007500000000000062 0.0002334893403241 7.203664085870002e-05 7.552980422299998e-05
3.1025 0.00749999999999984 0.0001747855354057 7.44028589017e-05 7.344396555369998e-05
3.1174999999999997 0.007500000000000062 0.0002530854946146 7.924826033549998e-05 8.450275112910002e-05
3.1325000000000003 0.007500000000000062 5.33312079675393e-05 7.30392021631939e-05 7.690536793556069e-05
3.1475 0.00749999999999984 0.0001549490958161 7.370702977772331e-05 9.259844710340004e-05
3.1624999999999996 0.007500000000000062 4.004242392790382e-05 6.784028037147311e-05 7.027350324909619e-05
3.1775 0.007500000000000062 0.0001742971385893 7.10583432157e-05 6.913051781760001e-05
3.1925 0.007500000000000062 5.596396199038285e-05 7.213683553062281e-05 7.098463359721716e-05
