# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: fp_value, datatype: float64}
# - {name: fp_errorneg, datatype: float64}
# - {name: fp_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width fp_value fp_errorneg fp_errorpos
5.25 0.125 0.000985827845259 6.86257095299e-05 6.851149104969987e-05
5.5 0.125 0.0011843368981162 5.880720724679993e-05 5.8231562465500125e-05
5.75 0.125 0.0012796162132586 5.52695019712e-05 5.338087196070005e-05
6.0 0.125 0.0013861157704224 7.101134592379997e-05 7.058647601939998e-05
6.25 0.125 0.0014836966788316 8.825354036799985e-05 0.00011892614914010011
6.5 0.125 0.0009821723749081 4.810830998819987e-05 4.968897174600006e-05
6.75 0.125 0.0013571213312081 8.117459470779998e-05 9.34186437529e-05
7.0 0.125 0.0012547149539881 9.21270682278999e-05 8.946628537789998e-05
7.25 0.125 0.0015963621398826 6.65622501433e-05 6.383316721310004e-05
7.5 0.125 0.0017137530592743 8.618248405349994e-05 6.874718827459998e-05
7.75 0.125 0.0015623314589408 0.00015223425267750002 0.00019998396849239992
8.0 0.125 0.001887571673436 6.233956070280018e-05 6.005111454989993e-05
8.25 0.125 0.002000991286991 6.900185768890011e-05 6.892714669950008e-05
8.5 0.125 0.0020578254306495 6.537291459690012e-05 6.36585631659998e-05
8.75 0.125 0.0022551580435714 7.021902731920012e-05 7.37447515291997e-05
9.0 0.125 0.0025402458865206 8.457145074989994e-05 7.948965468240017e-05
9.25 0.125 0.0028438978737912 8.133361786190037e-05 7.870486678729968e-05
9.5 0.125 0.0029777505452667 0.0001844747839702004 0.00016572696243159985
9.75 0.125 0.0030639720953543 8.631500908419997e-05 8.774993937069996e-05
10.0 0.125 0.003564465779793 0.00010179195363700004 9.668914894660034e-05
10.25 0.125 0.0033025475997288 0.00011121140243209975 0.00013678525275929998
10.5 0.125 0.0030759270285219 0.00013479829371990017 0.00013947257450419972
10.75 0.125 0.003169944318594 0.00013842823005160007 0.0001568745650008998
11.0 0.125 0.0032204178100596 0.0001673933027216 0.00017025724659690007
11.25 0.125 0.0033131394877671 0.00020605859928229985 0.0001976293873898003
11.5 0.125 0.0033957043554831 0.0002209412021118998 0.00021853230354740034
11.75 0.125 0.0035014698454962 0.00026149658446239987 0.00026003182663070007
