\PL_NAME = WASP-69 b
\SPEC_TYPE = Eclipse
\SPEC_NUM = 1
\INSTRUMENT = Near Infrared Camera (NIRCam)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = Figure 3, unbinned, F322W2 and F444W
\REFERENCE = Schlawin et al. 2024
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|        char|        char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
        3.07453   0.01070     0.04176         0.00548        -0.00548              0       null           null           null             0     null         null         null 
        3.08474   0.00970     0.03189         0.00557        -0.00557              0       null           null           null             0     null         null         null 
        3.09446   0.00970     0.03588         0.00570        -0.00570              0       null           null           null             0     null         null         null 
        3.10418   0.00970     0.02796         0.00563        -0.00563              0       null           null           null             0     null         null         null 
        3.11439   0.01070     0.03918         0.00541        -0.00541              0       null           null           null             0     null         null         null 
        3.12460   0.00970     0.04263         0.00571        -0.00571              0       null           null           null             0     null         null         null 
        3.13433   0.00970     0.03328         0.00563        -0.00563              0       null           null           null             0     null         null         null 
        3.14454   0.01070     0.04313         0.00532        -0.00532              0       null           null           null             0     null         null         null 
        3.15476   0.00970     0.03783         0.00548        -0.00548              0       null           null           null             0     null         null         null 
        3.16449   0.00970     0.03341         0.00566        -0.00566              0       null           null           null             0     null         null         null 
        3.17423   0.00970     0.04136         0.00529        -0.00529              0       null           null           null             0     null         null         null 
        3.18445   0.01070     0.04907         0.00542        -0.00542              0       null           null           null             0     null         null         null 
        3.19467   0.00970     0.04522         0.00562        -0.00562              0       null           null           null             0     null         null         null 
        3.20441   0.00970     0.04265         0.00561        -0.00561              0       null           null           null             0     null         null         null 
        3.21464   0.01070     0.04211         0.00529        -0.00529              0       null           null           null             0     null         null         null 
        3.22487   0.00970     0.03763         0.00560        -0.00560              0       null           null           null             0     null         null         null 
        3.23461   0.00970     0.04007         0.00560        -0.00560              0       null           null           null             0     null         null         null 
        3.24436   0.00970     0.05077         0.00568        -0.00568              0       null           null           null             0     null         null         null 
        3.25459   0.01070     0.03598         0.00525        -0.00525              0       null           null           null             0     null         null         null 
        3.26483   0.00970     0.04764         0.00584        -0.00584              0       null           null           null             0     null         null         null 
        3.27458   0.00970     0.05036         0.00571        -0.00571              0       null           null           null             0     null         null         null 
        3.28433   0.00980     0.03371         0.00556        -0.00556              0       null           null           null             0     null         null         null 
        3.29457   0.01070     0.05672         0.00520        -0.00520              0       null           null           null             0     null         null         null 
        3.30482   0.00980     0.03754         0.00549        -0.00549              0       null           null           null             0     null         null         null 
        3.31457   0.00970     0.05310         0.00552        -0.00552              0       null           null           null             0     null         null         null 
        3.32433   0.00980     0.04979         0.00563        -0.00563              0       null           null           null             0     null         null         null 
        3.33458   0.01070     0.04809         0.00537        -0.00537              0       null           null           null             0     null         null         null 
        3.34483   0.00980     0.04710         0.00537        -0.00537              0       null           null           null             0     null         null         null 
        3.35459   0.00980     0.04110         0.00544        -0.00544              0       null           null           null             0     null         null         null 
        3.36435   0.00980     0.04924         0.00536        -0.00536              0       null           null           null             0     null         null         null 
        3.37461   0.01080     0.03751         0.00521        -0.00521              0       null           null           null             0     null         null         null 
        3.38486   0.00980     0.05169         0.00566        -0.00566              0       null           null           null             0     null         null         null 
        3.39463   0.00980     0.04150         0.00560        -0.00560              0       null           null           null             0     null         null         null 
        3.40440   0.00980     0.05358         0.00582        -0.00582              0       null           null           null             0     null         null         null 
        3.41417   0.00980     0.05036         0.00564        -0.00564              0       null           null           null             0     null         null         null 
        3.42443   0.01080     0.04328         0.00531        -0.00531              0       null           null           null             0     null         null         null 
        3.43469   0.00980     0.04659         0.00561        -0.00561              0       null           null           null             0     null         null         null 
        3.44446   0.00980     0.05609         0.00545        -0.00545              0       null           null           null             0     null         null         null 
        3.45424   0.00980     0.04628         0.00554        -0.00554              0       null           null           null             0     null         null         null 
        3.46450   0.01080     0.04682         0.00547        -0.00547              0       null           null           null             0     null         null         null 
        3.47477   0.00980     0.04760         0.00542        -0.00542              0       null           null           null             0     null         null         null 
        3.48455   0.00980     0.05131         0.00573        -0.00573              0       null           null           null             0     null         null         null 
        3.49432   0.00980     0.05783         0.00551        -0.00551              0       null           null           null             0     null         null         null 
        3.50459   0.01080     0.05822         0.00532        -0.00532              0       null           null           null             0     null         null         null 
        3.51487   0.00980     0.05722         0.00563        -0.00563              0       null           null           null             0     null         null         null 
        3.52465   0.00980     0.05280         0.00583        -0.00583              0       null           null           null             0     null         null         null 
        3.53443   0.00980     0.05794         0.00560        -0.00560              0       null           null           null             0     null         null         null 
        3.54422   0.00980     0.05637         0.00576        -0.00576              0       null           null           null             0     null         null         null 
        3.55449   0.01080     0.06446         0.00531        -0.00531              0       null           null           null             0     null         null         null 
        3.56477   0.00980     0.06061         0.00561        -0.00561              0       null           null           null             0     null         null         null 
        3.57456   0.00980     0.04162         0.00595        -0.00595              0       null           null           null             0     null         null         null 
        3.58435   0.00980     0.04624         0.00559        -0.00559              0       null           null           null             0     null         null         null 
        3.59414   0.00980     0.05334         0.00560        -0.00560              0       null           null           null             0     null         null         null 
        3.60442   0.01080     0.05274         0.00539        -0.00539              0       null           null           null             0     null         null         null 
        3.61470   0.00980     0.05337         0.00565        -0.00565              0       null           null           null             0     null         null         null 
        3.62449   0.00980     0.05914         0.00580        -0.00580              0       null           null           null             0     null         null         null 
        3.63428   0.00980     0.05956         0.00580        -0.00580              0       null           null           null             0     null         null         null 
        3.64457   0.01080     0.05222         0.00545        -0.00545              0       null           null           null             0     null         null         null 
        3.65485   0.00980     0.05315         0.00573        -0.00573              0       null           null           null             0     null         null         null 
        3.66465   0.00980     0.05354         0.00575        -0.00575              0       null           null           null             0     null         null         null 
        3.67445   0.00980     0.05793         0.00598        -0.00598              0       null           null           null             0     null         null         null 
        3.68424   0.00980     0.06122         0.00621        -0.00621              0       null           null           null             0     null         null         null 
        3.69453   0.01080     0.06434         0.00588        -0.00588              0       null           null           null             0     null         null         null 
        3.70482   0.00980     0.05891         0.00596        -0.00596              0       null           null           null             0     null         null         null 
        3.71462   0.00980     0.06216         0.00592        -0.00592              0       null           null           null             0     null         null         null 
        3.72442   0.00980     0.06120         0.00594        -0.00594              0       null           null           null             0     null         null         null 
        3.73422   0.00980     0.06748         0.00591        -0.00591              0       null           null           null             0     null         null         null 
        3.74452   0.01080     0.06560         0.00595        -0.00595              0       null           null           null             0     null         null         null 
        3.75481   0.00980     0.06877         0.00595        -0.00595              0       null           null           null             0     null         null         null 
        3.76461   0.00980     0.06496         0.00580        -0.00580              0       null           null           null             0     null         null         null 
        3.77442   0.00980     0.05113         0.00619        -0.00619              0       null           null           null             0     null         null         null 
        3.78422   0.00980     0.06325         0.00594        -0.00594              0       null           null           null             0     null         null         null 
        3.79452   0.01080     0.05780         0.00621        -0.00621              0       null           null           null             0     null         null         null 
        3.80481   0.00980     0.05609         0.00611        -0.00611              0       null           null           null             0     null         null         null 
        3.81462   0.00980     0.06914         0.00608        -0.00608              0       null           null           null             0     null         null         null 
        3.82443   0.00980     0.06207         0.00616        -0.00616              0       null           null           null             0     null         null         null 
        3.83423   0.00980     0.04818         0.00613        -0.00613              0       null           null           null             0     null         null         null 
        3.84453   0.01080     0.06345         0.00593        -0.00593              0       null           null           null             0     null         null         null 
        3.85483   0.00980     0.07001         0.00631        -0.00631              0       null           null           null             0     null         null         null 
        3.86464   0.00980     0.05822         0.00671        -0.00671              0       null           null           null             0     null         null         null 
        3.87445   0.00980     0.06268         0.00651        -0.00651              0       null           null           null             0     null         null         null 
